製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,,,,,
計測時ID ,12,,,,,
計測開始時刻 ,00/00/00 00:08 ,,,,,
サンプリング周波数 ,1000,,,,,
シーケンス数 ,20000,,,,,
PGAゲイン ,x12 ,,,,,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,,,,,
コメント , ,,,,,
ファイル保存形式, 演算データ,,,,,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z ,,
89,0.1192,0.5462,0.1992,-1.176,,0.1192
90,0.1645,0.5848,0.2121,-1.1889,,0.1645
91,0.1189,0.6362,0.2249,-1.2017,,0.1189
92,0.1059,0.6876,0.2249,-1.2146,,0.1059
93,0.0745,0.7005,0.2378,-1.2531,,0.0745
94,0.0266,0.739,0.2506,-1.266,,0.0266
95,-0.008,0.7776,0.2763,-1.2531,,0.008
96,-0.123,0.8033,0.2763,-1.2788,,0.123
97,-0.0821,0.8418,0.302,-1.2788,,0.0821
98,-0.0248,0.8547,0.302,-1.3045,,0.0248
99,-0.0585,0.8804,0.3149,-1.3302,,0.0585
100,0.0007,0.919,0.302,-1.3302,,0.0007
101,0.0552,0.9447,0.3149,-1.3431,,0.0552
102,0.0623,0.9447,0.3277,-1.356,,0.0623
103,0.0355,0.9832,0.3277,-1.3945,,0.0355
104,0.0351,0.9961,0.3277,-1.4202,,0.0351
105,0.0001,1.0089,0.3406,-1.4202,,0.0001
106,0.0316,1.0218,0.3534,-1.4331,,0.0316
107,0.0303,1.0346,0.3534,-1.4202,,0.0303
108,-0.0193,1.0475,0.3663,-1.4716,,0.0193
109,-0.0713,1.0475,0.3534,-1.4588,,0.0713
110,-0.1933,1.0603,0.3663,-1.4716,,0.1933
111,-0.1266,1.0732,0.3792,-1.4716,,0.1266
112,-0.0634,1.0732,0.3663,-1.5102,,0.0634
113,-0.0626,1.086,0.3663,-1.4973,,0.0626
114,-0.0286,1.086,0.3663,-1.523,,0.0286
115,-0.0193,1.086,0.3534,-1.5359,,0.0193
116,-0.0078,1.086,0.3534,-1.5487,,0.0078
117,0.02,1.0732,0.3534,-1.5487,,0.02
118,0.0722,1.0989,0.3406,-1.5487,,0.0722
119,0.0778,1.0732,0.3534,-1.5616,,0.0778
120,0.0797,1.0732,0.3406,-1.5616,,0.0797
121,-0.0045,1.0732,0.3534,-1.5616,,0.0045
122,0.0433,1.086,0.3277,-1.5873,,0.0433
123,0.0699,1.0732,0.3277,-1.5744,,0.0699
124,0.0643,1.0475,0.3277,-1.5744,,0.0643
125,0.0398,1.0475,0.3149,-1.5873,,0.0398
126,0.0549,1.0475,0.3149,-1.5744,,0.0549
127,0.0796,1.0346,0.3277,-1.5616,,0.0796
128,0.1185,1.0346,0.3149,-1.5873,,0.1185
129,0.1228,1.0346,0.3149,-1.613,,0.1228
130,0.1444,1.0089,0.302,-1.6259,,0.1444
131,0.1192,1.0089,0.302,-1.6002,,0.1192
132,0.1315,1.0089,0.2892,-1.613,,0.1315
133,0.1396,1.0089,0.2892,-1.6002,,0.1396
134,0.1374,0.9832,0.2892,-1.6002,,0.1374
135,0.0679,0.9575,0.2892,-1.613,,0.0679
136,0.0009,0.9575,0.2892,-1.6002,,0.0009
137,-0.0566,0.9318,0.2763,-1.5873,,0.0566
138,-0.0687,0.9447,0.2763,-1.5744,,0.0687
139,-0.0704,0.9318,0.2763,-1.6002,,0.0704
140,-0.0772,0.919,0.2763,-1.5873,,0.0772
141,-0.0634,0.919,0.2635,-1.5616,,0.0634
