製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,,,,,
202,-2.4001,1.3817,0.2121,-1.5744,,2.4001
203,-1.0068,1.4588,0.2121,-1.5359,,1.0068
204,0.8378,1.4716,0.2121,-1.5359,,0.8378
205,1.9098,1.4973,0.2121,-1.4973,,1.9098
206,2.1842,1.5487,0.1992,-1.4588,,2.1842
207,1.6079,1.5616,0.1992,-1.4459,,1.6079
208,0.2063,1.6002,0.1992,-1.3817,,0.2063
209,-0.5013,1.6259,0.1992,-1.356,,0.5013
210,-0.6569,1.6516,0.2249,-1.3302,,0.6569
211,-0.5594,1.6516,0.2121,-1.2917,,0.5594
212,-0.0463,1.6773,0.2249,-1.2788,,0.0463
213,0.2684,1.6901,0.2249,-1.2274,,0.2684
214,0.414,1.6901,0.2249,-1.2146,,0.414
215,0.4379,1.7287,0.2121,-1.2274,,0.4379
216,0.2761,1.7544,0.2249,-1.176,,0.2761
217,0.2078,1.7415,0.2378,-1.2017,,0.2078
218,0.1288,1.7544,0.2121,-1.1632,,0.1288
219,-0.0329,1.7287,0.2249,-1.1889,,0.0329
220,-0.0749,1.7158,0.2249,-1.1632,,0.0749
221,-0.0398,1.703,0.1992,-1.1632,,0.0398
222,-0.1039,1.703,0.1864,-1.1632,,0.1039
223,-0.3385,1.703,0.1607,-1.1246,,0.3385
224,-0.3799,1.6773,0.135,-1.1375,,0.3799
225,-0.4184,1.6773,0.135,-1.1118,,0.4184
226,-0.2712,1.6516,0.0964,-1.086,,0.2712
227,-0.1017,1.6259,0.0964,-1.0732,,0.1017
228,-0.069,1.6002,0.0321,-1.0218,,0.069
229,-0.0852,1.6002,0.045,-1.0218,,0.0852
230,-0.0827,1.5744,0.0193,-0.9704,,0.0827
231,-0.1081,1.5487,-0.0064,-0.9575,,0.1081
232,-0.1116,1.523,-0.0321,-0.9318,,0.1116
233,-0.0823,1.5487,-0.0578,-0.9061,,0.0823
234,-0.0379,1.523,-0.0707,-0.8804,,0.0379
235,-0.0545,1.5102,-0.0835,-0.8676,,0.0545
236,0.0063,1.5102,-0.1092,-0.8547,,0.0063
237,0.1065,1.523,-0.135,-0.8418,,0.1065
238,0.1383,1.523,-0.1478,-0.8418,,0.1383
239,0.0516,1.523,-0.1607,-0.8033,,0.0516
240,-0.0924,1.5487,-0.1607,-0.7776,,0.0924
241,-0.1296,1.5487,-0.1864,-0.7647,,0.1296
242,-0.0757,1.5616,-0.1992,-0.7519,,0.0757
243,-0.0223,1.5744,-0.1992,-0.739,,0.0223
244,-0.0145,1.5873,-0.2121,-0.7262,,0.0145
245,-0.0097,1.6002,-0.2378,-0.6748,,0.0097
246,0.0259,1.6259,-0.2378,-0.6748,,0.0259
247,0.0101,1.6259,-0.2635,-0.6748,,0.0101
248,0.0299,1.6516,-0.2635,-0.6105,,0.0299
249,0.0231,1.6259,-0.2763,-0.5976,,0.0231
250,-0.006,1.613,-0.2892,-0.5334,,0.006
251,-0.0108,1.613,-0.302,-0.4948,,0.0108
252,-0.054,1.613,-0.302,-0.482,,0.054
253,-0.0677,1.6259,-0.3277,-0.4563,,0.0677
254,-0.0316,1.6259,-0.3534,-0.4306,,0.0316
255,-0.0312,1.6516,-0.3792,-0.4049,,0.0312
256,0.0241,1.6644,-0.3792,-0.3534,,0.0241
257,0.062,1.6644,-0.392,-0.302,,0.062
258,0.1133,1.6644,-0.4049,-0.2635,,0.1133
259,0.0664,1.6644,-0.4177,-0.2378,,0.0664
260,0.0057,1.6644,-0.4049,-0.2121,,0.0057
261,0.0311,1.6644,-0.4177,-0.1864,,0.0311
262,0.0087,1.6516,-0.4177,-0.1864,,0.0087
263,0.0784,1.6516,-0.4049,-0.1478,,0.0784
264,0.1463,1.6259,-0.4177,-0.1478,,0.1463
265,0.1619,1.6002,-0.4049,-0.135,,0.1619
266,0.0599,1.5873,-0.392,-0.0964,,0.0599
267,-0.0105,1.5744,-0.392,-0.0964,,0.0105
268,-0.1457,1.5487,-0.3792,-0.135,,0.1457
269,-0.2672,1.523,-0.3792,-0.135,,0.2672
270,-0.4034,1.4973,-0.3792,-0.135,,0.4034
271,-0.3077,1.4588,-0.3792,-0.1221,,0.3077
272,-0.1876,1.4331,-0.3534,-0.1092,,0.1876
273,-0.0858,1.3945,-0.3663,-0.1221,,0.0858
274,-0.0199,1.3431,-0.3534,-0.1221,,0.0199
275,0.0491,1.3045,-0.3534,-0.135,,0.0491
276,0.0636,1.266,-0.3663,-0.1221,,0.0636
277,0.0327,1.2274,-0.3534,-0.1092,,0.0327
278,0.0792,1.1889,-0.3663,-0.1221,,0.0792
279,0.05,1.1503,-0.3663,-0.135,,0.05
280,0.0431,1.0989,-0.3534,-0.135,,0.0431
281,0.0379,1.0603,-0.3406,-0.1478,,0.0379
282,0.0413,1.0346,-0.3534,-0.1478,,0.0413
283,0.0693,0.9961,-0.3534,-0.1992,,0.0693
284,0.1258,0.9704,-0.3534,-0.2506,,0.1258
285,0.0562,0.9575,-0.3663,-0.3149,,0.0562
286,0.0719,0.919,-0.3792,-0.3792,,0.0719
287,0.0639,0.8933,-0.3663,-0.3792,,0.0639
288,0.0899,0.8547,-0.3792,-0.4563,,0.0899
289,0.0779,0.829,-0.392,-0.482,,0.0779
290,-0.1056,0.8033,-0.4049,-0.5591,,0.1056
291,0.0485,0.7904,-0.392,-0.6362,,0.0485
292,0.0814,0.7776,-0.4177,-0.6876,,0.0814
293,0.0042,0.7647,-0.4306,-0.739,,0.0042
294,-0.1079,0.7519,-0.4434,-0.7647,,0.1079
295,-0.1343,0.7647,-0.4563,-0.8161,,0.1343
296,-0.1631,0.7519,-0.4691,-0.8676,,0.1631
297,-0.118,0.7776,-0.482,-0.8933,,0.118
298,-0.114,0.7904,-0.482,-0.9318,,0.114
299,-0.0675,0.8033,-0.4691,-0.9575,,0.0675
300,-0.0907,0.8033,-0.482,-1.0089,,0.0907
301,-0.0773,0.8033,-0.4434,-1.0475,,0.0773
302,-0.0793,0.7776,-0.4177,-1.0732,,0.0793
303,-0.0987,0.7519,-0.3663,-1.1118,,0.0987
304,-0.0684,0.7133,-0.3663,-1.1375,,0.0684
305,0.0428,0.6491,-0.3277,-1.1889,,0.0428
306,0.1356,0.5976,-0.2892,-1.2146,,0.1356
307,0.2552,0.5462,-0.2378,-1.2403,,0.2552
308,0.2246,0.5205,-0.2121,-1.266,,0.2246
309,0.1071,0.4434,-0.1735,-1.2917,,0.1071
310,-0.2968,0.3663,-0.1221,-1.3174,,0.2968
311,-0.2451,0.2892,-0.0578,-1.3302,,0.2451
312,-0.1698,0.2378,0.0193,-1.3817,,0.1698
313,-0.1876,0.1607,0.0707,-1.4331,,0.1876
314,-0.248,0.1221,0.135,-1.523,,0.248
315,-0.1711,0.0707,0.1864,-1.5873,,0.1711
316,-0.0241,0.0321,0.2121,-1.703,,0.0241
317,0.129,-0.0064,0.2763,-1.7929,,0.129
318,0.2476,-0.0321,0.3149,-1.9472,,0.2476
319,0.3698,-0.0707,0.3663,-2.0886,,0.3698
320,0.292,-0.1221,0.4049,-2.2299,,0.292
321,0.0891,-0.1735,0.4434,-2.3585,,0.0891
322,-0.079,-0.2249,0.482,-2.5127,,0.079
323,-0.1761,-0.2892,0.5077,-2.6669,,0.1761
324,-0.2433,-0.3792,0.5591,-2.744,,0.2433
325,-0.1669,-0.4691,0.5976,-2.8469,,0.1669
326,-0.0847,-0.5848,0.6491,-2.924,,0.0847
327,0.028,-0.6876,0.6748,-2.924,,0.028
328,0.0877,-0.8161,0.7005,-2.9368,,0.0877
329,0.1817,-0.9318,0.7262,-2.9754,,0.1817
330,0.315,-1.0732,0.7262,-2.9497,,0.315
331,0.3707,-1.2274,0.7262,-2.9625,,0.3707
332,0.3051,-1.356,0.7262,-2.924,,0.3051
333,-0.0026,-1.4845,0.7133,-2.8597,,0.0026
334,-0.1738,-1.6516,0.7133,-2.8212,,0.1738
335,-0.1828,-1.8315,0.7133,-2.744,,0.1828
336,-0.1279,-1.9729,0.7262,-2.6798,,0.1279
337,-0.1622,-2.1271,0.7262,-2.6412,,0.1622
338,-0.2271,-2.2685,0.7262,-2.5641,,0.2271
339,-0.161,-2.4099,0.7262,-2.4998,,0.161
340,-0.1384,-2.5898,0.7262,-2.397,,0.1384
341,-0.2503,-2.744,0.7133,-2.3199,,0.2503
342,-0.2518,-2.9111,0.7005,-2.1785,,0.2518
343,-0.284,-3.0911,0.6876,-1.9857,,0.284
344,-0.1448,-3.271,0.6491,-1.8058,,0.1448
345,-0.0552,-3.4381,0.6105,-1.5744,,0.0552
346,0.0634,-3.5795,0.5719,-1.2917,,0.0634
347,0.1722,-3.6823,0.5205,-1.0346,,0.1722
348,0.196,-3.7337,0.4691,-0.7776,,0.196
349,0.1387,-3.7208,0.4049,-0.5205,,0.1387
350,0.1403,-3.6951,0.3534,-0.2892,,0.1403
351,0.1179,-3.5666,0.3277,-0.1478,,0.1179
352,-0.0097,-3.4381,0.302,-0.0835,,0.0097
353,-0.1462,-3.2196,0.3149,-0.0578,,0.1462
354,-0.0753,-2.9882,0.3277,-0.1478,,0.0753
355,0.1058,-2.6926,0.3792,-0.2506,,0.1058
356,0.1463,-2.3842,0.4306,-0.4306,,0.1463
357,0.151,-2.0757,0.482,-0.6748,,0.151
358,0.2681,-1.7415,0.5462,-0.9061,,0.2681
359,0.4464,-1.4074,0.6234,-1.086,,0.4464
360,0.5649,-1.0989,0.6619,-1.266,,0.5649
361,0.5518,-0.7904,0.7262,-1.4074,,0.5518
362,0.5255,-0.5334,0.8033,-1.5359,,0.5255
363,0.3844,-0.2892,0.9061,-1.613,,0.3844
364,0.2562,-0.0835,1.0089,-1.6773,,0.2562
365,0.0635,0.1092,1.086,-1.703,,0.0635
366,-0.2863,0.302,1.1632,-1.7158,,0.2863
367,-0.4251,0.5077,1.1889,-1.6773,,0.4251
368,-0.4518,0.6748,1.2146,-1.6644,,0.4518
369,-0.4914,0.8418,1.2274,-1.6387,,0.4914
370,-0.3877,1.0218,1.2017,-1.5873,,0.3877
371,-0.2536,1.1889,1.176,-1.5359,,0.2536
372,-0.1196,1.356,1.1503,-1.4459,,0.1196
373,-0.002,1.5102,1.086,-1.4074,,0.002
374,0.1021,1.6387,1.0603,-1.3688,,0.1021
375,0.2079,1.7415,1.0475,-1.356,,0.2079
376,0.1602,1.8701,0.9832,-1.3045,,0.1602
377,0.2008,1.9986,0.9318,-1.3174,,0.2008
378,0.1513,2.1143,0.8676,-1.3817,,0.1513
379,0.1259,2.2428,0.8161,-1.4331,,0.1259
380,-0.0384,2.3585,0.7904,-1.5102,,0.0384
381,-0.0612,2.4613,0.739,-1.5744,,0.0612
382,0.0888,2.5898,0.6876,-1.6644,,0.0888
383,0.031,2.7055,0.6234,-1.7415,,0.031
384,0.0072,2.8083,0.5462,-1.8186,,0.0072
385,-0.0809,2.9368,0.4948,-1.9086,,0.0809
386,-0.0572,3.0011,0.4306,-1.9986,,0.0572
387,-0.0147,3.0525,0.3406,-2.1143,,0.0147
388,-0.0372,3.1425,0.2506,-2.2942,,0.0372
389,-0.0413,3.2453,0.1735,-2.5127,,0.0413
390,0.1342,3.3867,0.0964,-2.7826,,0.1342
391,0.1691,3.5538,-0.0064,-3.0397,,0.1691
392,0.0208,3.708,-0.0835,-3.361,,0.0208
393,-0.0231,3.8622,-0.1221,-3.6052,,0.0231
394,-0.0811,3.9779,-0.1607,-3.8108,,0.0811
395,-0.1233,4.0422,-0.1735,-3.8494,,0.1233
396,-0.1022,4.055,-0.1864,-3.8237,,0.1022
397,-0.0741,4.0422,-0.2121,-3.6823,,0.0741
398,-0.099,4.0165,-0.2506,-3.4766,,0.099
399,0.0146,3.965,-0.2892,-3.2453,,0.0146
400,-0.0582,3.9265,-0.3277,-3.0268,,0.0582
401,-0.5895,3.8494,-0.3534,-2.8083,,0.5895
402,-0.9558,3.7851,-0.3534,-2.6669,,0.9558
403,-0.8386,3.7337,-0.3534,-2.5512,,0.8386
404,-0.3823,3.618,-0.3406,-2.4484,,0.3823
405,0.2264,3.4895,-0.3149,-2.3456,,0.2264
406,0.7888,3.3867,-0.2763,-2.2942,,0.7888
407,0.7433,3.271,-0.2378,-2.2428,,0.7433
408,0.5807,3.1553,-0.2121,-2.1914,,0.5807
409,0.2903,3.0268,-0.1735,-2.2171,,0.2903
410,0.228,2.9111,-0.135,-2.1657,,0.228
411,0.2854,2.7826,-0.1092,-2.1271,,0.2854
412,0.2552,2.6669,-0.0707,-2.0886,,0.2552
413,0.2222,2.5512,-0.0193,-2.05,,0.2222
414,0.1833,2.4484,0.0193,-1.9472,,0.1833
415,0.2484,2.3713,0.045,-1.8572,,0.2484
416,0.2287,2.2942,0.0707,-1.7158,,0.2287
417,-0.0995,2.1914,0.1092,-1.613,,0.0995
418,-0.1595,2.14,0.1221,-1.4845,,0.1595
419,-0.2749,2.05,0.1607,-1.3817,,0.2749
420,-0.4052,1.96,0.1992,-1.2403,,0.4052
421,-0.1669,1.9086,0.2378,-1.1503,,0.1669
422,0.0497,1.8572,0.2378,-1.0346,,0.0497
423,-0.0613,1.7929,0.2506,-0.9704,,0.0613
424,-0.2418,1.7415,0.2635,-0.8933,,0.2418
425,-0.3023,1.703,0.2763,-0.829,,0.3023
426,-0.4047,1.6773,0.2892,-0.7904,,0.4047
427,-0.3221,1.6387,0.3149,-0.739,,0.3221
428,-0.2466,1.6002,0.3277,-0.7005,,0.2466
429,-0.1804,1.5744,0.3406,-0.7005,,0.1804
430,0.1821,1.5487,0.3534,-0.6876,,0.1821
431,0.5619,1.5359,0.3663,-0.6876,,0.5619
432,0.635,1.523,0.3792,-0.7005,,0.635
433,0.622,1.5616,0.3663,-0.7133,,0.622
434,0.4192,1.5359,0.3792,-0.7647,,0.4192
435,0.1374,1.523,0.392,-0.7519,,0.1374
436,-0.0153,1.5487,0.4177,-0.7519,,0.0153
437,-0.2363,1.5487,0.4177,-0.7647,,0.2363
438,-0.255,1.5744,0.4049,-0.8033,,0.255
439,-0.1829,1.5744,0.4049,-0.829,,0.1829
440,0.0444,1.6002,0.392,-0.8161,,0.0444
441,0.206,1.6002,0.3792,-0.7776,,0.206
442,0.2933,1.6002,0.3792,-0.7776,,0.2933
443,0.425,1.6002,0.3534,-0.7647,,0.425
444,0.491,1.613,0.3663,-0.7133,,0.491
445,0.3815,1.613,0.3277,-0.6748,,0.3815
446,0.2595,1.613,0.302,-0.6362,,0.2595
447,0.1529,1.5616,0.2892,-0.5848,,0.1529
448,0.1068,1.5744,0.2506,-0.5334,,0.1068
449,0.0492,1.523,0.2121,-0.4691,,0.0492
450,-0.0207,1.4716,0.1992,-0.4049,,0.0207
451,-0.1575,1.4459,0.1607,-0.3149,,0.1575
452,-0.1654,1.4074,0.1478,-0.2506,,0.1654
453,-0.1458,1.3688,0.1221,-0.1607,,0.1458
454,-0.0578,1.3174,0.0578,-0.0578,,0.0578
455,-0.0215,1.2274,0.0193,-0.0064,,0.0215
456,0.0861,1.1503,-0.0321,0.0835,,0.0861
457,-0.1701,1.086,-0.0964,0.1607,,0.1701
458,-0.2477,1.0089,-0.1478,0.2378,,0.2477
459,-0.0793,0.9575,-0.2249,0.2378,,0.0793
460,-0.0979,0.9447,-0.2378,0.2635,,0.0979
461,-0.1119,0.9318,-0.2506,0.302,,0.1119
462,-0.0064,0.9061,-0.2763,0.4049,,0.0064
463,0.1418,0.8676,-0.2892,0.4563,,0.1418
464,0.1647,0.7904,-0.3277,0.482,,0.1647
465,0.2727,0.6876,-0.3406,0.5462,,0.2727
466,0.2053,0.6362,-0.3534,0.6234,,0.2053
