製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,,,,,
計測時ID ,12,,,,,
計測開始時刻 ,00/00/00 00:10 ,,,,,
サンプリング周波数 ,1000,,,,,
シーケンス数 ,20000,,,,,
PGAゲイン ,x12 ,,,,,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,,,,,
コメント , ,,,,,
ファイル保存形式, 演算データ,,,,,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z ,,
1,0,0.6491,0.135,-1.2274,,0
2,-0.2475,1.6773,-0.0321,-0.4177,,0.2475
3,-0.1401,1.6259,-0.135,-0.3149,,0.1401
4,-0.0943,1.5616,-0.1864,-0.2249,,0.0943
5,0.173,1.5102,-0.2506,-0.1221,,0.173
6,0.3682,1.4459,-0.302,-0.0321,,0.3682
7,0.4821,1.3431,-0.3663,0.0321,,0.4821
8,0.4399,1.266,-0.4049,0.0964,,0.4399
9,0.3166,1.1889,-0.4434,0.1735,,0.3166
10,0.2441,1.1375,-0.482,0.2763,,0.2441
11,0.203,1.0475,-0.482,0.3663,,0.203
12,0.1933,0.9832,-0.4948,0.4691,,0.1933
13,0.12,0.9447,-0.5205,0.5205,,0.12
14,-0.0008,0.919,-0.5205,0.5462,,0.0008
15,0.0544,0.8676,-0.5334,0.6105,,0.0544
16,0.0501,0.8161,-0.4948,0.6619,,0.0501
17,-0.058,0.7519,-0.4691,0.7262,,0.058
18,-0.0071,0.7005,-0.4434,0.7647,,0.0071
19,0.0508,0.6491,-0.4177,0.7904,,0.0508
20,-0.1175,0.5976,-0.3792,0.8161,,0.1175
21,-0.168,0.5462,-0.3534,0.8418,,0.168
22,-0.0021,0.5077,-0.3406,0.8161,,0.0021
23,0.1244,0.482,-0.2763,0.8547,,0.1244
24,0.1406,0.4434,-0.2506,0.8676,,0.1406
25,0.0097,0.392,-0.1864,0.8676,,0.0097
26,-0.1935,0.3406,-0.1607,0.8418,,0.1935
27,-0.4045,0.2892,-0.1221,0.8033,,0.4045
28,-0.1711,0.2892,-0.0835,0.8033,,0.1711
29,-0.1003,0.2635,-0.0321,0.7776,,0.1003
30,0.0029,0.2121,0.0193,0.7647,,0.0029
31,0.107,0.1992,0.0578,0.7005,,0.107
32,0.1157,0.1607,0.0835,0.6876,,0.1157
33,-0.0557,0.1735,0.1478,0.6491,,0.0557
34,-0.1966,0.135,0.1735,0.5976,,0.1966
35,-0.1771,0.1221,0.2121,0.5334,,0.1771
36,-0.056,0.1221,0.2378,0.482,,0.056
37,0.0288,0.135,0.2378,0.4177,,0.0288
38,0.0427,0.1607,0.2763,0.3406,,0.0427
39,0.0404,0.1607,0.2892,0.2506,,0.0404
40,0.0175,0.1607,0.302,0.2249,,0.0175
41,-0.0379,0.1864,0.302,0.135,,0.0379
42,0.0141,0.2121,0.3149,0.0064,,0.0141
43,0.1261,0.2378,0.3149,-0.0578,,0.1261
44,0.1496,0.2635,0.3149,-0.1607,,0.1496
45,0.1669,0.3149,0.302,-0.2506,,0.1669
46,0.1925,0.3534,0.2763,-0.3792,,0.1925
47,0.1488,0.4049,0.2506,-0.4306,,0.1488
48,0.1198,0.4948,0.2249,-0.5848,,0.1198
49,0.061,0.5462,0.1607,-0.7005,,0.061
50,-0.0376,0.6234,0.135,-0.8418,,0.0376
51,-0.3182,0.7005,0.0578,-0.9832,,0.3182
52,-0.4723,0.7776,-0.0064,-1.0989,,0.4723
53,-0.4793,0.8547,-0.0707,-1.2274,,0.4793
54,-0.521,0.9575,-0.1478,-1.3431,,0.521
55,-0.3425,1.0218,-0.1992,-1.4845,,0.3425
56,-0.0979,1.0989,-0.2892,-1.6387,,0.0979
57,0.2664,1.2017,-0.3663,-1.7672,,0.2664
58,0.4667,1.3045,-0.4434,-1.9343,,0.4667
59,0.5627,1.4202,-0.5077,-2.0114,,0.5627
60,0.5142,1.5102,-0.5976,-2.1914,,0.5142
61,0.4126,1.6387,-0.6619,-2.307,,0.4126
62,0.0245,1.7415,-0.7262,-2.3842,,0.0245
63,-0.3182,1.8572,-0.8033,-2.4741,,0.3182
64,-0.4126,1.9729,-0.8676,-2.5512,,0.4126
65,-0.5003,2.1014,-0.919,-2.6412,,0.5003
66,-0.4719,2.2171,-0.9704,-2.6926,,0.4719
67,-0.2372,2.3456,-0.9961,-2.7826,,0.2372
68,0.0418,2.487,-1.0346,-2.7955,,0.0418
69,0.4009,2.6284,-1.0346,-2.8597,,0.4009
70,0.6807,2.744,-1.0218,-2.8983,,0.6807
71,0.3535,2.8854,-0.9575,-2.9368,,0.3535
72,-0.0977,3.0397,-0.8676,-2.9625,,0.0977
73,-0.3367,3.1682,-0.8033,-2.924,,0.3367
74,-0.5355,3.3224,-0.7262,-2.9368,,0.5355
75,-0.4927,3.4381,-0.6105,-2.8854,,0.4927
76,-0.1319,3.5666,-0.5334,-2.8083,,0.1319
77,0.3488,3.6437,-0.4177,-2.7055,,0.3488
78,0.7043,3.7337,-0.3406,-2.5641,,0.7043
79,0.8392,3.7851,-0.2378,-2.3713,,0.8392
80,0.688,3.8108,-0.135,-2.0886,,0.688
81,0.2865,3.8108,-0.0578,-1.8444,,0.2865
82,-0.1151,3.7723,0.0064,-1.5873,,0.1151
83,-0.5887,3.708,0.0578,-1.2917,,0.5887
84,-0.5335,3.6309,0.1092,-0.9832,,0.5335
85,-0.3842,3.5281,0.1221,-0.7005,,0.3842
86,-0.1865,3.4252,0.135,-0.392,,0.1865
87,0.0083,3.271,0.135,-0.1607,,0.0083
88,0.0823,3.1039,0.135,0.1092,,0.0823
89,-0.072,2.9111,0.0964,0.2892,,0.072
90,-0.0097,2.6541,0.0964,0.4948,,0.0097
91,0.3319,2.4741,0.0578,0.6234,,0.3319
92,0.6385,2.2556,0.0321,0.7133,,0.6385
93,0.5393,2.0371,0.0193,0.7519,,0.5393
94,0.0522,1.8058,0.0321,0.7133,,0.0522
95,-0.1569,1.5487,0.0964,0.6876,,0.1569
96,-0.1888,1.266,0.1478,0.5848,,0.1888
97,-0.1625,1.0089,0.2378,0.482,,0.1625
98,-0.1543,0.739,0.3277,0.3406,,0.1543
99,0.0261,0.4691,0.4434,0.2249,,0.0261
100,-0.0069,0.2121,0.5719,0.0964,,0.0069
101,-0.0511,-0.0835,0.7133,-0.0835,,0.0511
102,-0.2347,-0.3277,0.8676,-0.1607,,0.2347
103,-0.5611,-0.5205,1.0089,-0.3149,,0.5611
104,-0.6554,-0.7904,1.1118,-0.4434,,0.6554
105,-1.0995,-1.0346,1.2017,-0.5848,,1.0995
106,-0.9818,-1.2274,1.266,-0.7262,,0.9818
107,-0.3054,-1.3945,1.3045,-0.8804,,0.3054
108,-0.0526,-1.5873,1.2917,-1.0475,,0.0526
109,-0.3371,-1.7415,1.2788,-1.2531,,0.3371
110,-1.0612,-1.9215,1.2146,-1.4716,,1.0612
111,-1.2314,-2.0371,1.1246,-1.7158,,1.2314
112,-0.3309,-2.2042,1.0475,-1.9986,,0.3309
113,0.8993,-2.4613,0.9575,-2.2685,,0.8993
114,1.6943,-2.6926,0.8676,-2.5127,,1.6943
115,2.0919,-2.834,0.7647,-2.7312,,2.0919
116,1.4962,-2.9625,0.6619,-2.8083,,1.4962
117,0.8548,-3.0782,0.5976,-2.8212,,0.8548
118,0.6697,-3.2196,0.5334,-2.7826,,0.6697
119,0.1923,-3.3353,0.5077,-2.6284,,0.1923
120,-0.0192,-3.4124,0.5077,-2.4227,,0.0192
121,0.2796,-3.4509,0.5077,-2.1914,,0.2796
122,0.555,-3.4381,0.5077,-1.9472,,0.555
123,0.359,-3.3995,0.4948,-1.7544,,0.359
124,-0.0218,-3.3224,0.482,-1.5616,,0.0218
125,-0.3656,-3.2196,0.482,-1.3945,,0.3656
126,-0.4503,-3.0654,0.482,-1.3302,,0.4503
127,-0.1247,-2.8983,0.482,-1.3302,,0.1247
128,-0.0532,-2.7055,0.482,-1.4074,,0.0532
129,-0.3271,-2.5127,0.4691,-1.4716,,0.3271
130,-0.4334,-2.3199,0.482,-1.6387,,0.4334
131,-0.2927,-2.1528,0.4948,-1.7415,,0.2927
132,0.0961,-1.9986,0.5077,-1.8958,,0.0961
133,0.4381,-1.8572,0.5462,-2.0243,,0.4381
134,0.5978,-1.7801,0.5719,-2.1914,,0.5978
135,0.5159,-1.6901,0.6234,-2.307,,0.5159
136,0.2104,-1.6387,0.6619,-2.4613,,0.2104
137,-0.765,-1.5873,0.7005,-2.5641,,0.765
138,-1.4211,-1.5616,0.7647,-2.6284,,1.4211
139,-2.4001,-1.5487,0.8161,-2.6412,,2.4001
140,-2.4001,-1.5487,0.8418,-2.6412,,2.4001
141,-2.4001,-1.5102,0.8804,-2.6155,,2.4001
142,-1.6782,-1.4845,0.8933,-2.5512,,1.6782
143,0.6812,-1.4202,0.8804,-2.5127,,0.6812
144,2.4,-1.3688,0.8547,-2.5127,,2.4
145,2.4,-1.2788,0.829,-2.4613,,2.4
146,2.4,-1.2017,0.7904,-2.4613,,2.4
147,2.4,-1.0989,0.7519,-2.4356,,2.4
148,1.5955,-0.9832,0.7005,-2.4227,,1.5955
149,0.7122,-0.8804,0.6491,-2.4356,,0.7122
150,0.0272,-0.7647,0.6234,-2.4227,,0.0272
151,-0.678,-0.6491,0.5848,-2.3713,,0.678
152,-0.748,-0.5334,0.5462,-2.3585,,0.748
153,-0.6202,-0.4306,0.5077,-2.3328,,0.6202
154,-0.206,-0.302,0.4948,-2.2942,,0.206
155,0.5234,-0.2249,0.482,-2.2428,,0.5234
156,0.2631,-0.135,0.4691,-2.1785,,0.2631
157,-0.0573,-0.045,0.4948,-2.14,,0.0573
158,-0.5467,0.0321,0.5077,-2.1143,,0.5467
159,-0.6218,0.1221,0.5205,-2.0757,,0.6218
160,0.0693,0.1607,0.5462,-2.0757,,0.0693
161,0.6043,0.2506,0.5848,-2.05,,0.6043
162,0.5917,0.2892,0.6234,-2.0371,,0.5917
163,0.5853,0.3406,0.6491,-2.0243,,0.5853
164,0.2413,0.3792,0.6876,-2.0114,,0.2413
165,-0.3363,0.4177,0.7133,-1.9729,,0.3363
166,-0.3572,0.4306,0.7519,-1.9729,,0.3572
167,-0.1814,0.4563,0.7776,-1.9857,,0.1814
168,0.1833,0.4948,0.8033,-1.96,,0.1833
169,0.1862,0.4948,0.8033,-1.9729,,0.1862
170,-0.3019,0.5205,0.829,-1.96,,0.3019
171,-0.4449,0.5077,0.8418,-1.96,,0.4449
172,-0.2879,0.5205,0.8418,-1.9343,,0.2879
173,-0.6555,0.5462,0.8676,-1.9215,,0.6555
174,-1.5144,0.5591,0.8418,-1.9215,,1.5144
175,-1.88,0.5591,0.8418,-1.9215,,1.88
176,-1.9783,0.5719,0.829,-1.9215,,1.9783
177,-0.7883,0.5848,0.829,-1.9215,,0.7883
178,0.5066,0.6105,0.8161,-1.9343,,0.5066
179,0.6212,0.6105,0.8033,-1.9472,,0.6212
180,0.5959,0.6234,0.7904,-1.9729,,0.5959
181,-0.3269,0.6491,0.7776,-1.9343,,0.3269
182,-0.4592,0.6748,0.7519,-1.9472,,0.4592
183,0.1829,0.7262,0.739,-1.9472,,0.1829
184,1.2965,0.7519,0.7133,-1.9472,,1.2965
185,1.8515,0.7904,0.6876,-1.9343,,1.8515
186,1.4935,0.8161,0.6619,-1.96,,1.4935
187,0.8816,0.8547,0.6362,-1.9086,,0.8816
188,0.881,0.919,0.5976,-1.9086,,0.881
189,1.1863,0.9447,0.5719,-1.8701,,1.1863
190,0.9883,0.9704,0.5205,-1.8444,,0.9883
191,0.593,0.9961,0.4948,-1.8315,,0.593
192,0.41,1.0346,0.4434,-1.8186,,0.41
193,-0.7297,1.0603,0.4049,-1.7801,,0.7297
194,-1.096,1.0732,0.3663,-1.7544,,1.096
195,-1.2513,1.0989,0.3406,-1.7287,,1.2513
196,-0.3598,1.1503,0.3149,-1.7158,,0.3598
197,0.68,1.176,0.2763,-1.6773,,0.68
198,1.111,1.2146,0.2506,-1.6516,,1.111
199,1.0803,1.266,0.2378,-1.6644,,1.0803
200,-1.0076,1.3045,0.2249,-1.613,,1.0076
201,-2.2741,1.356,0.2121,-1.5873,,2.2741
